id,street,number,city_id
1,Conjunto Oliveira,426352,62
2,"Lagoa Gael Henrique Ramos, 14",481350,13
3,"Passarela Azevedo, 2",396683,53
4,"Esplanada Ana Laura Abreu, 1",302870,30
5,Lagoa de Azevedo,299950,61
6,"Chácara Ravi Vieira, 26",240720,98
7,"Colônia de Aparecida, 5",372533,76
8,"Praça Costa, 40",290869,97
9,"Rodovia de Lima, 39",390351,97
10,"Avenida Melissa Mendes, 9",278747,39
11,"Trevo Duarte, 9",152905,68
12,"Viaduto de Fogaça, 44",100312,72
13,"Praça Freitas, 98",400188,78
14,"Núcleo de Vieira, 311",115945,27
15,"Passarela de Costela, 64",213722,75
16,"Residencial Ana Liz Fernandes, 7",225700,94
17,"Rua Alice Ramos, 739",350992,68
18,"Ladeira de Gomes, 74",370336,23
19,"Área Samuel Borges, 91",354022,61
20,Parque Sales,133589,24
21,Campo Pietro Pastor,448891,43
22,"Estrada Fogaça, 8",461797,56
23,Campo Correia,130811,47
24,Vale de Garcia,359012,93
25,"Trevo de Aragão, 2",229999,82
26,"Lago de Rios, 97",9524,71
27,"Estrada Rezende, 924",189468,111
28,"Condomínio de Sá, 58",266763,76
29,"Vereda da Mota, 82",2883,39
30,"Condomínio de Nogueira, 1",238956,33
31,"Esplanada de Mendes, 9",287112,71
32,"Rua Cunha, 3",187937,79
33,"Viaduto Rocha, 4",432364,45
34,"Trevo Asafe Abreu, 32",135564,24
35,"Feira de Borges, 7",54246,106
36,"Condomínio de Brito, 934",82772,100
37,"Travessa Maria Flor Freitas, 70",265245,40
38,"Vale de Guerra, 5",208177,86
39,"Conjunto Bruna Moreira, 58",97527,21
40,Lagoa Rael Viana,152509,80
41,"Sítio de Abreu, 3",215917,107
42,"Alameda Freitas, 67",67765,61
43,"Núcleo de Vargas, 864",68678,75
44,"Colônia Gonçalves, 159",156699,70
45,"Esplanada de Ramos, 18",466630,83
46,Avenida Carlos Eduardo Moura,203,39
47,"Viaduto de Martins, 7",162994,34
48,"Setor Emanuella Vargas, 28",127494,27
49,Sítio Mariana Martins,346459,9
50,Vila Moraes,146627,85
51,"Quadra da Mata, 651",332372,30
52,"Parque Brayan Santos, 34",31614,83
53,"Vereda de Brito, 90",216822,15
54,"Condomínio Castro, 44",13436,54
55,"Praça Manuella Cirino, 335",461083,59
56,"Chácara Liz Dias, 41",399046,58
57,"Rodovia Samuel Cunha, 17",491325,42
58,"Via Maria Julia Costela, 75",59368,69
59,"Vale Maria Isis Nascimento, 38",399594,31
60,Praça Pires,150716,39
61,"Largo Ana Sophia Marques, 6",253068,79
62,"Chácara Guilherme Moura, 37",288837,38
63,"Trevo de Fonseca, 533",30575,90
64,"Residencial de da Paz, 18",52250,22
65,"Trecho Davi da Rocha, 4",340800,68
66,"Parque Diego Abreu, 874",500336,61
67,Parque de da Mata,403512,7
68,"Distrito Renan Peixoto, 49",30977,17
69,"Conjunto Lavínia Siqueira, 51",320273,48
70,"Trevo Clara Lopes, 543",224004,100
71,"Largo Otávio Nascimento, 902",319053,8
72,"Distrito Lunna Câmara, 160",230149,91
73,"Vila Maria Liz Macedo, 852",192588,68
74,"Trecho Lima, 31",163959,66
75,"Pátio Sales, 76",177300,20
76,"Parque José Pedro Teixeira, 4",244193,108
77,"Alameda Augusto Barbosa, 95",362288,96
78,"Avenida Pimenta, 713",459061,101
79,"Trecho Emanuella Caldeira, 67",52006,97
80,"Conjunto de Rodrigues, 51",222821,7
81,"Loteamento da Mota, 125",302550,34
82,Feira Cauê Novais,165247,72
83,"Vale de Moreira, 406",383377,77
84,"Rodovia de da Cunha, 33",143041,9
85,"Recanto Olívia Costela, 596",82702,14
86,"Lagoa Gabriel Costa, 91",376749,43
87,"Passarela de Sousa, 695",8844,10
88,"Estrada Silveira, 585",277098,24
89,Largo Luana Gomes,405270,34
90,"Estação da Mota, 7",47555,72
91,"Estação de da Cruz, 45",238879,54
92,"Feira de Barros, 35",48707,87
93,"Vale Freitas, 70",56542,85
94,"Residencial Cavalcante, 548",424021,89
95,"Setor de das Neves, 412",404223,63
96,"Setor Costela, 62",286734,105
97,"Largo Arthur Machado, 7",127362,16
98,"Distrito de Ramos, 96",119565,74
99,"Trevo Enzo Gabriel Gomes, 273",401978,70
100,"Largo de das Neves, 47",238184,35
101,Parque Luana Moreira,281571,1
102,"Loteamento de da Costa, 5",444107,78
103,"Praça Joaquim Cassiano, 2",119640,77
104,"Núcleo de da Rocha, 5",103095,90
105,"Residencial de Melo, 871",113848,38
106,"Trevo de Gomes, 9",29271,8
107,Trecho Nina Guerra,10231,64
108,"Setor de Cassiano, 2",169167,76
109,"Colônia de Costela, 33",275556,37
110,Distrito Igor Pires,50272,2
111,"Núcleo Ferreira, 2",495416,19
112,"Fazenda de Santos, 30",305627,21
