id,city_name,state_id
1,Casa Grande da Prata,5
2,Pires,8
3,Fogaça,19
4,Pereira do Oeste,3
5,Pastor Grande,26
6,Moreira Paulista,1
7,Albuquerque do Galho,17
8,Duarte da Serra,22
9,Cirino de Minas,21
10,Fonseca,23
11,Aragão do Galho,6
12,Garcia,20
13,Cavalcanti de Novais,24
14,Andrade da Mata,17
15,Melo,2
16,das Neves das Flores,13
17,Pimenta de Goiás,19
18,Costa da Serra,10
19,Camargo,16
20,Caldeira,18
21,Teixeira,12
22,Peixoto,12
23,Pires,13
24,da Paz do Norte,10
25,Camargo Verde,3
26,Peixoto do Amparo,14
27,Carvalho,18
28,Cardoso,20
29,Sampaio,18
30,Ribeiro,9
31,Fonseca do Oeste,27
32,Monteiro de Minas,20
33,Garcia,9
34,Leão de Sales,26
35,Leão,1
36,Gomes,28
37,Caldeira Verde,12
38,Gomes,23
39,Pereira da Praia,15
40,Sampaio do Oeste,17
41,Azevedo de das Neves,16
42,Macedo de Goiás,22
43,Cavalcanti,9
44,Moraes do Oeste,25
45,Albuquerque de Goiás,8
46,da Cunha Verde,19
47,Rocha,1
48,Barbosa da Mata,22
49,Duarte Verde,2
50,Marques do Galho,15
51,Barros do Sul,7
52,da Cruz de Minas,14
53,Sousa do Amparo,11
54,da Mota Alegre,8
55,Aragão de Pastor,22
56,Novaes do Norte,26
57,Teixeira,6
58,Cavalcante do Sul,16
59,Silveira da Mata,19
60,Moura Alegre,8
61,Moura,28
62,Aparecida,14
63,Azevedo das Pedras,5
64,Carvalho,23
65,Nunes de Casa Grande,20
66,Santos Verde,16
67,Ramos,10
68,Porto,27
69,Monteiro,28
70,Caldeira,2
71,Andrade do Amparo,4
72,Duarte do Campo,5
73,Correia Alegre,15
74,Sales,23
75,Cunha Verde,10
76,Borges do Sul,1
77,Santos de da Cunha,13
78,da Costa,23
79,Ribeiro,4
80,Moura de Goiás,10
81,Cirino,20
82,Mendes da Prata,17
83,Casa Grande das Pedras,4
84,Ribeiro,17
85,Nunes de Minas,8
86,Leão,13
87,da Rocha Paulista,21
88,Casa Grande,28
89,Mendonça Verde,14
90,Camargo do Norte,22
91,Santos da Serra,5
92,Sampaio de Goiás,7
93,Aparecida de Minas,10
94,da Mota da Serra,16
95,Abreu do Sul,4
96,Macedo Alegre,7
97,Ferreira Alegre,28
98,da Mata,11
99,da Mata da Prata,3
100,Nogueira Grande,9
101,Camargo do Amparo,18
102,Sampaio dos Dourados,20
103,Fonseca,19
104,Araújo,16
105,Siqueira do Norte,22
106,Campos,19
107,Duarte de Minas,28
108,Campos,2
109,Mendes das Pedras,7
110,Castro da Praia,9
111,Alves,25
112,Carvalho da Serra,11
